gene,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk
WWC1,149.49578592703637,-0.21072354315466835,0.290328477204475,-0.7258107960462251,0.46795476761652155,0.6031012692398597
WWC2,182.73848874282154,-0.5589266918354939,0.2638474976505357,-2.1183702586248847,0.034143722636866776,0.08489231934855947
WWC2-AS1,0.22214516250717883,-2.713051312455053,3.259683123926605,-0.8323052300822784,0.40523667924377993,
WWC2-AS2,17.13922752748237,-0.22087479952968364,0.326508087797313,-0.6764757376141828,0.49873864527789435,0.6306108838645119
WWC3,341.83293493379705,-0.7243909215748471,0.20344158345056904,-3.5606826750385325,0.0003698918762165429,0.0021652207388285437
WWC3-AS1,0.4425922559509798,0.18529210870967514,1.3212998399408136,0.14023471668472703,0.8884745429670302,
WWOX,332.00062968716696,1.1548397375077335,0.2710722506203525,4.260265426892156,2.041842771987548e-05,0.00019383894048735122
WWOX-AS2,0.7697303841828771,-0.9095543737185793,1.5227938276586592,-0.5972931838823159,0.5503116544324802,0.6753221267768457
WWP1,517.4078283641433,-0.8704559733893575,0.1768507016668739,-4.921982017515534,8.567208785360542e-07,1.3485304322424554e-05
WWP2,204.69528434565999,-0.14851163982111557,0.13784605392315724,-1.0773731680698229,0.2813135863124364,0.42076341217855023
WWTR1,728.7301929742548,-0.762695524107423,0.2863531688591089,-2.663478553934507,0.0077337341434771546,0.026275260267961193
WWTR1-AS1,5.5721862507980475,-0.983786308934358,0.5272101633589004,-1.8660230346595987,0.06203814282917547,0.1347777390999988
XAB2,373.7756453145048,-0.2428753158388146,0.15754277801330904,-1.5416467762063761,0.1231594521135983,0.22853669508700022
XAF1,806.217734337697,1.8444939798956732,0.4682150730624045,3.9394160632881547,8.168017224061784e-05,0.0006154573125060406
XAGE1B,0.0,,,,,
XAGE2,1.177165860940569,-0.6845842296237561,0.9933897530991431,-0.6891396126122841,0.49073541398424503,0.6234525927974468
XAGE3,0.37502905962183364,-2.324243338418879,1.5163910271069836,-1.5327466971716002,0.12533827854832805,
XAGE5,0.6044199199915675,-3.027202317300431,1.455434654486779,-2.079930079971811,0.03753194655173287,
XBP1,2829.671603547348,0.5412477697859259,0.20494520936744823,2.6409388707179664,0.0082676635220987,0.027718928399313805
XCL1,188.79814115973556,-2.712260509836918,0.510741382155533,-5.310438128960872,1.0936200725463386e-07,2.3243507213522183e-06
XCL2,114.16595006711736,-2.558275132043416,0.6889885765240097,-3.71308787868454,0.0002047457525352635,0.0013260670934363943
XCR1,7.477164312335867,-1.5243337816607299,0.44685742692438557,-3.411230718827614,0.0006467034439246046,0.0034387815688896083
XDH,29.202913422906683,1.7177268464497044,0.47387658165707414,3.6248401228080858,0.00028914026594557883,0.0017721767806592721
XG,567.5333769284488,-0.24805202212934108,0.2612421779738556,-0.9495098534746,0.3423613629278016,0.48444972667462816
XIAP,517.742153177286,-0.4807294421449414,0.19435160377454283,-2.473503860058755,0.013379535873862163,0.04067561717416678
XIAP-AS1,0.08335924638549047,-0.41868032564502017,3.356723197157153,-0.12472888023641786,0.9007381928144405,
XIRP1,0.8344841687013349,-2.710744590499523,1.238202503918035,-2.1892578814224115,0.028578101789425592,0.07372321910895298
XIRP2,0.3955721717138092,-2.4427203805011546,1.5003234585446459,-1.6281291654738632,0.10349750048514499,
XIST,1783.9930930279052,-1.1582981572473185,1.806163621271356,-0.6413030046701937,0.5213258374451668,0.6502493365155483
XK,20.211271131502226,0.25880407588374643,0.34990512081048875,0.7396407211311339,0.45951802602464165,0.5954804972326849
XKR4,7.358720753407916,-0.9524100688510367,0.8738698159538787,-1.0898763768507405,0.2757676039198701,0.4144955330186775
XKR5,0.3504148070743098,-0.7315128619464384,1.6021594155299947,-0.4565793234154878,0.6479734436675963,
XKR6,63.13904383417767,-0.044113721371977326,0.2312968487052841,-0.19072339990324097,0.84874230473142,0.9006422730246618
XKR8,68.83989784812381,0.461099606203356,0.21485222533327494,2.1461244140623004,0.03186305393845937,0.08051518184378234
XKR9,22.004038877541095,1.7033469905664906,0.6122967027606574,2.781898028989252,0.005404201714219797,0.01961618068853076
XKRX,33.69209266901243,-0.14361915271041117,0.4316676573405865,-0.33270769831406527,0.7393549379003427,0.8214926151994372
XNDC1N,41.80180916523918,0.12949657509775855,0.1945784768696055,0.6655236343767824,0.5057156320199976,0.6363901201806968
XPA,614.6742061483561,-0.12689542471601117,0.11664657605872203,-1.0878624045692495,0.276655855233668,0.4153337832296281
XPC,467.3152401367244,-1.0549220953641876,0.2602868531994205,-4.052921161392473,5.058205194773353e-05,0.00041175023994039183
XPC-AS1,13.210037962898845,-0.23388220764429568,0.38342964779119876,-0.6099742390595185,0.5418788725034158,0.6682337001169131
XPNPEP1,299.62131211466004,0.2673887616448239,0.09565683827077356,2.7952916537752674,0.00518529124899039,0.018994652903178654
XPNPEP2,31.729554407263958,0.12835775591906637,0.6876550371095251,0.1866600969849689,0.8519271441365355,0.9030402361548507
