gene,log2FC,padj,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk,same_direction
ACKR1,-2.129,2.54e-13,916.6968274577683,0.3054075530948463,0.8661193791177773,0.35261600243367397,0.7243763390716864,0.8105546965567196,False
ENPP5,-2.129,6.76e-26,15.57055699111712,-2.5685116882329337,0.7794936746819474,-3.2951026694103063,0.0009838572686825362,0.0048815775282366955,True
IGHG2,-2.129,2.35e-05,4.302744594628638,4.546306405155034,3.277766456092629,1.3870135246226818,0.165437638820512,0.2839492137570218,False
MRAS,-2.129,2.68e-15,84.42540492496317,-0.6879217836931306,0.47045203742104685,-1.4622569974703965,0.14367079777969063,0.2562037268804635,True
MAOA,-2.13,1.2800000000000001e-21,228.82658316456443,-0.44831565890088726,0.27768855360361744,-1.614454946316689,0.1064287817432876,0.2044719174344867,True
BCL6,-2.131,1.32e-14,806.8500358232933,-1.4329857232531502,0.2534814910858093,-5.653216402960371,1.574728381827875e-08,4.3439461819800675e-07,True
BHLHE40,-2.135,1.05e-11,3738.357235521708,0.37444611078742496,0.3663051865603053,1.022224430681872,0.3066746903476012,0.44808614719370415,False
KMT2A,-2.136,1.0700000000000001e-29,1024.1331330294752,-1.0043507691820555,0.2689527154195482,-3.7343023944388727,0.0001882362175420825,0.0012382893768706135,True
VTCN1,-2.138,6.19e-12,2.945034684823207,-0.22719777800856436,0.8812541868968327,-0.25781185654118444,0.7965521135496901,0.8635412447556912,True
KCNK5,-2.141,9.31e-20,70.83967542230522,0.588226111446871,0.3120649151156504,1.8849479161374998,0.05943687002221083,0.1303327731931448,False
TIMP3,-2.143,1.75e-16,2753.9312986518057,-1.1403612506952285,0.545855318043764,-2.089127307181058,0.03669626482753329,0.08971411430881436,True
SF1,-2.144,7.27e-13,2339.8084701384305,0.02996016607290522,0.13586654471753357,0.22051172446603676,0.8254726422924015,0.8839472421600089,False
EPCAM,-2.152,8.76e-19,102.66220314294786,-1.3416679432787284,0.28027315794184465,-4.787001199583723,1.6929182258202814e-06,2.4092901217868946e-05,True
TMEM213,-2.153,9.39e-18,2.1643052602621866,0.24008901950565456,1.080708041354088,0.222159001616044,0.8241901085840141,0.883015735196795,False
ZNF677,-2.153,1.6100000000000002e-33,189.54226474354343,-1.286373240691666,0.23973256071059498,-5.36586785240481,8.056091038917415e-08,1.7740010782605772e-06,True
FKBP5,-2.16,1.05e-08,466.95246072075946,-0.9454905419218838,0.23806164643466735,-3.97162061206428,7.1385342758335e-05,0.0005488808212087961,True
INSIG1,-2.165,7.78e-27,926.1993714527282,1.196097491115828,0.2860926934331832,4.180804049073612,2.904801097210107e-05,0.0002583703832541102,False
PHLDA1,-2.165,3.77e-13,1368.1792952833011,-0.7429947132584515,0.3642106025621654,-2.0400139590434714,0.04134893542875652,0.09853361602163807,True
RORC,-2.165,4.38e-23,67.96855779847364,-2.3622159525376625,0.41519409660809886,-5.689425673042154,1.2746735658611176e-08,3.630270315572463e-07,True
IL6ST,-2.166,1.11e-18,1477.902575428598,-0.8670013443954514,0.2956926158059094,-2.9321034684361043,0.0033667455829997726,0.01346698233199909,True
SOCS3,-2.167,6.7e-12,3975.2347730323427,-1.3203381450436487,0.4555939530715969,-2.898058975853344,0.0037547997638914775,0.01467029869338247,True
FRYL,-2.168,2.5600000000000003e-21,522.6034908745369,-0.7054432983393454,0.22268700581840573,-3.16786916123257,0.0015356061254815708,0.0070629945823183354,True
GREM2,-2.168,2.35e-16,280.57971440783064,-3.514954067190724,0.953723568614575,-3.6855061391601303,0.00022824857980485177,0.0014570799954069437,True
ROPN1,-2.17,8.01e-17,12.448306441341533,-2.8916650372476593,0.6865130117193498,-4.2121052156106655,2.530016407970169e-05,0.0002323351267164351,True
ADAMTS15,-2.171,7.31e-12,17.423696214972317,-0.5624943261077019,0.48753378456311464,-1.1537545579774753,0.24860080925127503,0.38400326386410083,True
RSPO3,-2.177,4.67e-13,51.004291749191495,0.16590634018914285,0.7445748238968125,0.22282023896652073,0.8236754155524453,0.8827307649490859,False
TNFAIP3,-2.179,1.1200000000000002e-21,5651.096930396048,-0.49127097272616793,0.29051607857942674,-1.6910285142509074,0.0908313568332575,0.18118768976077515,True
GPRC5A,-2.186,1.04e-14,174.69016625252385,0.4289956492693067,0.5266079953657655,0.8146394529603367,0.41527872028977875,0.554109983283444,False
BHLHE41,-2.187,7.78e-16,160.68715899248747,-1.6322786765709911,0.289824726314788,-5.631951066860045,1.7818224475340404e-08,4.805521146379684e-07,True
HMGCS2,-2.187,1.83e-14,33.31775867150822,-3.3380606589328647,0.541114819403478,-6.168858325877535,6.878482280541611e-10,2.825468875237862e-08,True
KLHL24,-2.189,1.36e-29,404.13860193034634,-0.8732768933970221,0.1918399976410752,-4.552110634565829,5.31103923188049e-06,6.304864146855946e-05,True
AKAP12,-2.19,4.92e-15,323.4041216863467,-1.6517444707960114,0.49644551821712457,-3.327141469073767,0.0008774181689325751,0.004444309245529951,True
NFAT5,-2.194,5.99e-26,1237.4029042127281,-0.9250787699112922,0.2576418145911633,-3.5905614598284274,0.0003299664108980969,0.001968188365479852,True
BAG4,-2.2,1.25e-30,255.8671201022801,-0.36675865345742725,0.11697087208390332,-3.1354699415624676,0.0017157901060808264,0.007727024386651161,True
ZSCAN18,-2.204,2.21e-40,194.90622499661512,-1.5157887884465733,0.36361759442434605,-4.168634333677566,3.06430140383469e-05,0.00027046891729714455,True
PLIN2,-2.206,1.29e-16,1013.513395549326,-0.33883351356891606,0.2083416628276292,-1.6263358416662388,0.10387823111262094,0.20054582579226168,True
FXYD6,-2.211,8.580000000000001e-21,135.21880249557506,-0.5268782371690521,0.47778250828848123,-1.102757484899232,0.27013249553045704,0.4077759791187677,True
DDIT3,-2.215,4.8399999999999994e-30,2380.602162651162,0.9660124083180686,0.34089812387951257,2.833727558616594,0.0046008537820387725,0.017259261816710253,False
MUC1,-2.215,6.17e-16,48.21055231441485,-0.4435012131824033,0.29132268492944347,-1.5223710206083558,0.12791614182844915,0.23499516551609823,True
ZFP36L1,-2.217,1.25e-28,12541.340749930185,-0.8940243908157081,0.16030967429998116,-5.5768586313933595,2.4490073005751168e-08,6.340702538216302e-07,True
CCL27,-2.218,4.6e-11,3966.1336985572384,-3.25899175458313,0.6392152157303566,-5.0984264366414696,3.424885801668171e-07,6.14752611122959e-06,True
DDX17,-2.219,1.83e-08,3010.2540837643023,-0.4917314978961005,0.1742879396287043,-2.8213742095044823,0.004781838683858649,0.017785142658405143,True
FAR2,-2.223,3.41e-09,38.252204545396644,-0.21444176785175104,0.43060212917945145,-0.4980044298907389,0.6184809198519545,0.7293631611780879,True
SOX5,-2.224,2.4599999999999998e-30,153.73036478063258,-2.4704229677461207,0.33341594144586145,-7.40943266549616,1.2684085637799576e-13,1.3683437839565602e-11,True
CDC42BPA,-2.227,1.14e-14,301.402524083519,-0.6847690172185694,0.2915848335326563,-2.3484383907158124,0.018852317746926243,0.053328765338941146,True
IGFBP5,-2.227,4.65e-15,2623.167259705111,-1.7427633357225796,0.4995185865886081,-3.488885864336974,0.00048503820513021053,0.0027257079877877656,True
TF,-2.232,3.61e-08,50.46757858140293,2.196817594032793,0.5142557698283008,4.271838495397463,1.938679681019205e-05,0.00018528052790411733,False
SFRP1,-2.234,3.16e-16,546.3959348082522,-0.15414338913615055,0.4654767698323052,-0.33115162587315145,0.7405299575702726,0.8224260330526191,True
SOX17,-2.239,1.1e-19,159.26125183424722,-1.4441369508452047,0.879485803438015,-1.642024175034891,0.1005849941264409,0.1955488736270845,True
TM4SF1,-2.24,1.29e-12,2249.3086734890344,0.7390966399505681,0.5136161871958114,1.4390057369215945,0.1501488973311928,0.2647010080552797,False
KRT79,-2.246,9.07e-08,89.28850340215637,-1.7548259905161117,0.722623508795313,-2.4284097723883704,0.015165198027202736,0.04497002226388419,True
WDR33,-2.248,7.17e-27,1115.8191908756617,0.14338283823056147,0.12850508013879186,1.1157756415209492,0.26451818288408335,0.4015713138879901,False
CLSTN2,-2.251,1.42e-16,39.21600482321187,-2.2708237381236547,0.5927470940241906,-3.8310162310656226,0.0001276150857397441,0.0008925534483958527,True
NAMPT,-2.252,3.17e-13,4359.607646748417,-0.0971606019372675,0.2666759876032797,-0.3643395223187788,0.7156044904442678,0.8040246129025069,True
GPR146,-2.253,1.7799999999999998e-23,108.46155859638084,-0.12208354296694789,0.4188453363435359,-0.2914764290626249,0.7706869685282279,0.8448918932335736,True
WIF1,-2.257,1.28e-07,1109.5439158314973,-6.308178174128132,1.0900660304376109,-5.786968860588833,7.166785775439779e-09,2.2121754936906604e-07,True
DACT1,-2.258,2.28e-14,28.14984100832871,-1.345202927670497,0.5951452077211078,-2.2602936396337,0.0238030324726936,0.06388951666458097,True
