gene,log2FC,padj
WDR72,-3.134,3.98e-22
CYP4F8,-3.154,8.67e-23
TIMP4,-3.199,1.14e-13
SIK1,-3.214,5.6e-37
KRT7,-3.222,6.86e-17
EGR1,-3.233,6.29e-26
WFDC3,-3.237,7.030000000000001e-26
APOLD1,-3.277,5.04e-26
PPP1R1B,-3.278,6.6499999999999995e-25
GAL,-3.283,1.32e-10
PLIN1,-3.307,2.49e-09
SERHL2,-3.312,1.46e-16
PPARGC1A,-3.321,3.96e-34
PDK4,-3.344,9.170000000000001e-21
GPD1,-3.352,5.23e-15
TLCD4,-3.359,5.36e-26
PM20D1,-3.361,2.7e-12
ADIPOQ,-3.362,9.57e-09
CCN1,-3.396,2.69e-26
BTC,-3.409,6.06e-14
DEPP1,-3.463,6.58e-19
ATF3,-3.475,2.0899999999999997e-23
RBP4,-3.511,2.33e-10
NR1D1,-3.56,3.97e-24
ADRB2,-3.568,4.69e-41
HSD3B1,-3.592,1.33e-19
SCGB1D2,-3.613,7.08e-12
CLDN8,-3.679,2.4e-50
PPP1R1A,-3.77,7.57e-18
STC1,-3.796,1.2699999999999999e-24
LPL,-3.814,3.67e-16
KRT77,-3.871,1.39e-38
ACVR1C,-3.952,5.39e-19
IL6,-4.328,4.54e-20
MUC7,-4.423,1.1500000000000002e-47
FOSB,-4.455,2.74e-22
CYP1A1,-4.622,3.76e-17
FOS,-4.924,8.19e-35
